ensembl_transcript_id,BORED_1,BORED_2,BORED_3,EXCITED_1,EXCITED_2,EXCITED_3
AAA-750000-UP-4,8101,9590.487,8821,69770.356,44898,57095
ABA-187500-UP-4,978,892.666,1009,9185,6770,7347
ACA-46875-UP-4,504,448.479,505,4455,3064,3667
ADA-23438-UP-4,206,172.996,240,1920,1228,1669
AEA-11719-UP-4,261,231.463,282,2111,1412,1967
AFA-5859-UP-4,67,87.886,98,718,466,626
AGA-2930-UP-4,38,39.971,36,313,205,272
AHA-2930-UP-4,37,36.32,32,315,191,238
AIA-1465-UP-4,23,11.151,13,197,110,147
AJA-732-UP-4,5,6.001,4,33,21,21
AKA-732-UP-4,1,1,6,20,12,11
ALA-366-UP-4,2,2,7,46,26,36
AMA-183-UP-4,3,0,2,6,10,6
ANA-183-UP-4,3,3.004,2,20,8,16
APA-92-UP-4,2,0,2,9,10,8
ARA-46-UP-4,0,3,0,2,3,4
ASA-46-UP-4,0,0,1,1,0,1
ATA-23-UP-4,0,1,0,1,1,0
AUA-11-UP-4,0,0,0,2,0,0
AVA-11-UP-4,0,0,0,0,0,1
AWA-6-UP-4,0,0,0,0,0,2
AXA-3-UP-4,0,0,0,0,0,1
AYA-1-UP-4,0,0,0,0,0,0
BAB-1500000-SAME-1,20672,25687.192,22792,44255.644,28650,36484.002
BBB-375000-SAME-1,1922,2163.083,2116,3811,2677,3364
BCB-93750-SAME-1,676,571.186,679,1410,928,1158
BDB-46875-SAME-1,648,610.434,694,1489,1043,1244
BEB-23438-SAME-1,200,147.607,211,502,332,349
BFB-11719-SAME-1,102,103.008,114,251,125,186
BGB-5859-SAME-1,139,134.134,131,286,189,235
BHB-5859-SAME-1,5,0,4,12,9,7
BIB-2930-SAME-1,24,28.363,35,52,49,60
BJB-1465-SAME-1,1,6.073,7,3,3,7
BKB-1465-SAME-1,8,6.001,7,22,7,17
BLB-732-SAME-1,15,12.178,24,42,21,37
BMB-366-SAME-1,1,1.001,2,5,9,4
BNB-366-SAME-1,1,1,2,7,0,3
BPB-183-SAME-1,1,0,5,5,2,4
BRB-92-SAME-1,0,0,0,0,2,2
BSB-92-SAME-1,1,0,0,3,1,0
BTB-46-SAME-1,1,1,2,1,2,2
BUB-23-SAME-1,0,0,1,1,3,0
BVB-23-SAME-1,0,0,1,0,2,0
BWB-11-SAME-1,1,0,0,0,1,0
BXB-6-SAME-1,0,0,0,0,0,0
BYB-1-SAME-1,0,0,0,0,0,0
CAC-2250000-DOWN-0.67,21125,27427.123,22961,31382.996,23361,26434.998
CBC-562500-DOWN-0.67,7022,8084.495,7817,9766,6570,8406
CCC-140625-DOWN-0.67,1024,1069.964,1119,1529,1003,1246
CDC-70312-DOWN-0.67,1023,944.402,1048,1322,959,1108
CEC-35156-DOWN-0.67,190,190.146,232,244.004,161,189
CFC-17578-DOWN-0.67,203,231.428,264,367,193,253
CGC-8789-DOWN-0.67,47,42.006,52,95,66,59
CHC-8789-DOWN-0.67,82,68.185,75,124,66,96
CIC-4395-DOWN-0.67,58,55.068,67,87,47,67
CJC-2197-DOWN-0.67,32,28.923,24,32,30,42
CKC-2197-DOWN-0.67,2,3,7,5,1,2
CLC-1099-DOWN-0.67,21,13.226,22,29,23,21
CMC-549-DOWN-0.67,0,6.129,2,7,5,4
CNC-549-DOWN-0.67,2,0,6,7,3,2
CPC-275-DOWN-0.67,2,7.154,9,4,4,5
CRC-137-DOWN-0.67,1,0,0,0,0,0
CSC-137-DOWN-0.67,0,2,1,1,0,2
CTC-69-DOWN-0.67,0,0,1,0,2,2
CUC-34-DOWN-0.67,0,0,0,0,0,0
CVC-34-DOWN-0.67,1,1,0,0,0,1
CWC-17-DOWN-0.67,0,0,0,1,0,0
CXC-9-DOWN-0.67,0,0,0,0,0,0
CYC-2-DOWN-0.67,0,0,0,0,0,0
DAD-3000000-DOWN-0.5,38059,50209.628,42217,40130,26119,34046
DBD-750000-DOWN-0.5,3116,3076.341,3177,3740,2444,2952
DCD-187500-DOWN-0.5,2836,2607.4,3034,3529,2243,2729
DDD-93750-DOWN-0.5,1710,1540.915,1882,2116,1462,1728
DED-46875-DOWN-0.5,299,277.308,335,362,182,275
DFD-23438-DOWN-0.5,374,384.827,441,420,272,344
DGD-11719-DOWN-0.5,79,85.541,82,94,63,66
DHD-11719-DOWN-0.5,67,68.548,98,88,60,74
DID-5859-DOWN-0.5,74,63.816,99,76,59,67
DJD-2930-DOWN-0.5,16,10.224,24,11,11,15
DKD-2930-DOWN-0.5,17,13.648,32,27,19,17
DLD-1465-DOWN-0.5,18,28.252,27,23,21,19
DMD-732-DOWN-0.5,18,7.613,12,22,6,12
DND-732-DOWN-0.5,1,0,0,0,2,1
DPD-366-DOWN-0.5,2,8.004,6,5,4,7
DRD-183-DOWN-0.5,0,0,0,1,2,0
DSD-183-DOWN-0.5,2,3,0,3,2,0
DTD-92-DOWN-0.5,2,1,1,2,3,3
DUD-46-DOWN-0.5,0,0,2,1,1,0
DVD-46-DOWN-0.5,0,0,0,0,0,0
DWD-23-DOWN-0.5,0,0,0,0,0,0
DXD-11-DOWN-0.5,0,0,0,0,0,0
DYD-3-DOWN-0.5,0,0,0,0,0,0
